short_SMA,long_SMA,trades,sharpe_ratio
20,108,38,-0.113891
20,110,38,-0.085254
20,112,40,-0.045918
20,114,44,-0.135203
20,118,44,0.018521
20,122,34,0.146493
20,128,32,0.149960
20,132,30,0.131008
20,134,30,0.150711
20,136,28,0.157456
20,140,30,0.178046
20,144,30,0.174414
20,146,32,0.060255
20,148,32,0.080122
20,150,28,0.145166
20,152,32,0.115418
20,154,28,0.117637
20,156,26,0.093094
20,160,24,0.130279
20,164,22,0.127270
20,170,24,0.028714
20,176,24,0.052188
20,178,24,0.002181
20,180,22,-0.033162
20,184,24,-0.093960
20,188,24,-0.072124
20,190,22,-0.177880
20,194,22,-0.172843
20,208,20,-0.107524
20,210,20,-0.089051
20,214,20,-0.099483
20,218,22,-0.092359
20,220,22,-0.101619
20,222,22,-0.108996
20,224,22,-0.104139
20,226,22,-0.119703
20,228,22,-0.101557
20,230,22,-0.101557
20,234,22,-0.092791
20,238,22,-0.106459
20,240,22,-0.106459
20,242,22,-0.117434
20,244,22,-0.048452
20,248,22,-0.042158
20,250,22,-0.029602
20,254,22,-0.039856
20,256,22,-0.034819
20,262,22,-0.003673
20,264,22,-0.037766
20,286,19,-0.003868
20,290,19,-0.003516
20,292,19,0.049769
20,296,19,0.033757
20,298,17,0.025256
20,300,17,-0.001132
22,32,111,0.181254
22,36,95,0.299545
22,42,77,0.114652
22,44,71,0.291934
22,46,69,0.288879
22,48,65,0.260132
22,52,59,0.177498
22,56,50,0.036090
22,60,50,0.097943
22,62,50,0.097918
22,100,38,-0.058606
22,110,38,-0.068822
22,114,36,0.046175
22,122,30,0.129545
22,126,30,0.136649
22,132,30,0.128821
22,138,28,0.047348
22,140,28,0.062638
22,146,28,0.130954
22,150,28,0.131276
22,154,26,0.138282
22,162,22,0.111796
22,164,22,0.081751
22,170,22,0.132299
22,176,24,-0.034215
22,184,22,-0.081733
22,188,24,-0.083044
22,190,24,-0.057953
22,198,20,-0.078812
22,216,20,-0.138174
22,218,20,-0.138174
22,220,20,-0.099767
22,224,22,-0.115599
22,226,22,-0.065938
22,236,22,-0.022947
22,248,22,-0.050839
22,252,22,-0.114432
22,256,22,-0.118059
22,270,19,-0.130241
22,282,19,-0.140837
22,286,19,-0.034273
22,294,17,0.006304
24,36,95,0.113186
24,44,77,0.276018
24,46,68,0.217637
24,54,56,0.003650
24,56,50,0.014411
24,60,50,-0.007952
24,86,36,-0.041025
24,100,38,-0.136564
24,104,38,-0.072968
24,112,36,-0.037426
24,146,28,0.155100
24,154,30,0.096149
24,162,24,0.190368
24,166,22,0.224186
24,170,22,0.156726
24,178,22,0.051961
24,182,22,-0.016859
24,200,20,-0.121296
24,204,22,-0.092036
24,212,20,-0.218387
24,218,20,-0.201240
24,220,20,-0.174824
24,224,22,-0.217878
24,226,22,-0.176226
24,234,22,-0.121652
24,236,22,-0.148269
24,242,22,-0.189746
24,250,22,-0.192773
24,272,19,-0.114095
24,278,19,-0.151149
24,280,19,-0.149866
24,284,17,-0.114501
24,290,17,-0.043865
24,292,17,0.006116
24,296,17,-0.035980
24,300,17,-0.080355
26,32,125,0.213686
26,34,117,0.134129
26,36,107,-0.014239
26,44,84,0.065186
26,46,74,0.028603
26,48,68,0.114833
26,50,64,0.035091
26,52,60,-0.026975
26,56,56,0.023977
26,60,50,0.093192
26,62,48,0.103754
26,66,48,0.050092
