Period,Strategy,Short_SMA,Long_SMA,PnL,Return_Percent,Sharpe,Trades
In-Sample,Best,100,150,62710.02197265625,6.271002197265625,0.8487990892713649,20
In-Sample,Medoid 1,60,155,46139.990234375,4.6139990234375,0.5950408511509925,21
In-Sample,Medoid 2,40,190,41049.98779296875,4.104998779296875,0.5926065074653734,15
In-Sample,Medoid 3,90,160,28460.02197265625,2.846002197265625,0.4424711942065286,19
In-Sample,Medoid 4,205,260,28180.0048828125,2.8180004882812497,0.40518828130194773,14
In-Sample,Medoid 5,25,80,43099.96337890625,4.309996337890625,0.38624668179462057,48
Out-of-Sample,Best,100,150,16740.00244140625,1.674000244140625,0.30052860473531223,14
Out-of-Sample,Medoid 1,60,155,68589.990234375,6.8589990234375,0.8240011584668026,12
Out-of-Sample,Medoid 2,40,190,33110.009765625,3.3110009765624997,0.5225231234108846,14
Out-of-Sample,Medoid 3,90,160,22900.0,2.29,0.4662157071213542,12
Out-of-Sample,Medoid 4,205,260,-2459.9853515625,-0.24599853515625,-0.04889384907627438,10
Out-of-Sample,Medoid 5,25,80,71300.03662109375,7.130003662109374,0.8240804036134116,12
Full,Best,100,150,79450.0244140625,7.94500244140625,0.5980901057128604,34
Full,Medoid 1,60,155,114729.98046875,11.472998046875,0.6491021150808901,33
Full,Medoid 2,40,190,74159.99755859375,7.415999755859374,0.5254464720313771,29
Full,Medoid 3,90,160,51360.02197265625,5.136002197265626,0.43635346771027267,31
Full,Medoid 4,205,260,25720.01953125,2.572001953125,0.20936785537536526,24
Full,Medoid 5,25,80,114400.0,11.44,0.5520247235121624,60
