period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-09,2021-09-15,32,0.7421364320836326,7520.0,0.7421364320836326,7520.0,0.7421364320836326,7520.0,0.7421364320836326,7520.0,0.74,0.74
2021-11,2021-11-15,43,-0.6228267949836317,-12090.0,-0.6228267949836317,-12090.0,-0.6228267949836317,-12090.0,-0.6228267949836317,-12090.0,-0.62,-0.62
2022-01,2022-01-15,41,-3.1699612451966312,-34410.0,-3.1699612451966312,-34410.0,-3.1699612451966312,-34410.0,-3.1699612451966312,-34410.0,-3.17,-3.17
2022-03,2022-03-15,42,-0.08967422431318932,-984.0,-1.1406930595476539,-12476.0,0.42030954489210864,4608.0,-0.36019175732777264,-3934.0,-0.09,-0.36
2022-05,2022-05-15,44,1.6329390623299067,20100.0,1.6329390623299067,20100.0,1.6329390623299067,20100.0,1.6329390623299067,20100.0,1.63,1.63
2022-07,2022-07-15,44,0.028311305065545595,310.0,0.028311305065545595,310.0,0.028311305065545595,310.0,0.028311305065545595,310.0,0.03,0.03
2022-09,2022-09-15,43,-0.7183459574123213,-7840.0,-0.7183459574123213,-7840.0,-0.7183459574123213,-7840.0,-0.7183459574123213,-7840.0,-0.72,-0.72
2022-11,2022-11-15,43,-0.8171055356771986,-9210.0,-0.8171055356771986,-9210.0,-0.8171055356771986,-9210.0,-0.8171055356771986,-9210.0,-0.82,-0.82
2023-01,2023-01-15,42,-2.364598363810814,-24140.0,-0.711238100321926,-7340.0,-2.364598363810814,-24140.0,-1.53791823206637,-15740.0,-2.36,-1.54
2023-03,2023-03-15,41,0.7678240962922783,8200.0,0.7678240962922783,8200.0,0.7678240962922783,8200.0,0.7678240962922783,8200.0,0.77,0.77
2023-05,2023-05-15,44,0.801072463216524,9450.0,0.801072463216524,9450.0,0.801072463216524,9450.0,0.801072463216524,9450.0,0.8,0.8
2023-07,2023-07-15,44,-1.2005482205975841,-15740.0,-1.2005482205975841,-15740.0,-1.2005482205975841,-15740.0,-1.2005482205975841,-15740.0,-1.2,-1.2
2023-09,2023-09-15,43,-2.6880968659168323,-26330.0,-2.6880968659168323,-26330.0,-2.6880968659168323,-26330.0,-2.6880968659168323,-26330.0,-2.69,-2.69
2023-11,2023-11-15,41,6.288140525089184,51260.0,8.458358294818103,65308.0,6.7962579914035945,54628.0,7.627308143110849,59968.0,6.29,7.63
2024-01,2024-01-15,43,-1.455508728216942,-16624.0,-2.9951597724844694,-33728.0,1.2999147233591177,14856.0,-0.8476225245626758,-9436.0,-1.46,-0.85
2024-03,2024-03-15,41,0.46256542294531733,5120.0,0.46256542294531733,5120.0,0.46256542294531733,5120.0,0.46256542294531733,5120.0,0.46,0.46
2024-05,2024-05-15,42,-0.09280707285596991,-1130.0,-0.09280707285596991,-1130.0,-0.09280707285596991,-1130.0,-0.09280707285596991,-1130.0,-0.09,-0.09
2024-07,2024-07-15,45,0.09023323532779363,1140.0,0.09023323532779363,1140.0,0.09023323532779363,1140.0,0.09023323532779363,1140.0,0.09,0.09
2024-09,2024-09-15,44,-0.9408811527071549,-12800.0,-0.9408811527071549,-12800.0,-0.9408811527071549,-12800.0,-0.9408811527071549,-12800.0,-0.94,-0.94
2024-11,2024-11-15,39,1.5680488019595773,12442.0,-1.0593265897219044,-8438.0,0.8844029806986294,7042.0,-0.08746180451163749,-698.0,1.57,-0.09
