period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-09,2021-09-15,43,-2.246843013602172,-31798.000000000015,-1.617230064014274,-22970.00000000004,-1.617230064014274,-22970.00000000004,-2.25,-1.62
2021-11,2021-11-15,44,-3.211035115051347,-73087.99999999991,-2.9853498662464646,-67936.00000000004,-2.9853498662464646,-67936.00000000004,-3.21,-2.99
2022-01,2022-01-15,41,-3.5444907192218653,-42304.00000000002,0.8222215808014716,10015.999999999975,0.8222215808014716,10015.999999999975,-3.54,0.82
2022-03,2022-03-15,43,-3.506468899155634,-49990.000000000044,-5.978812978488565,-81721.99999999997,-5.978812978488565,-81721.99999999997,-3.51,-5.98
2022-05,2022-05-15,44,-1.2096404121529514,-17515.999999999953,-0.5908271513276901,-8563.999999999989,-0.5908271513276901,-8563.999999999989,-1.21,-0.59
2022-07,2022-07-15,44,1.1190100589295278,12972.0,0.8641714128945799,10044.00000000003,0.8641714128945799,10044.00000000003,1.12,0.86
2022-09,2022-09-15,43,1.6333153772256825,19661.999999999953,-0.19934377474146672,-2409.9999999999873,-0.19934377474146672,-2409.9999999999873,1.63,-0.2
2022-11,2022-11-15,43,3.036606650917858,34629.99999999999,2.6261805912986986,30089.99999999999,2.6261805912986986,30089.99999999999,3.04,2.63
2023-01,2023-01-15,41,1.8884692544295307,20698.00000000003,2.268816149968953,24850.00000000003,2.268816149968953,24850.00000000003,1.89,2.27
2023-03,2023-03-15,42,1.614482211207814,22302.000000000015,1.728504304420175,23969.99999999995,1.728504304420175,23969.99999999995,1.61,1.73
2023-05,2023-05-15,45,4.3032139325134375,46420.00000000002,4.3032139325134375,46420.00000000002,4.3032139325134375,46420.00000000002,4.3,4.3
2023-07,2023-07-15,42,-1.7491080011458378,-25652.00000000003,-0.8937386227874721,-13144.000000000013,-0.8937386227874721,-13144.000000000013,-1.75,-0.89
2023-09,2023-09-15,43,-2.5680353705107883,-36216.00000000002,0.3619813327403846,5156.000000000022,0.3619813327403846,5156.000000000022,-2.57,0.36
2023-11,2023-11-15,42,2.855527411798026,25589.999999999996,2.592589904941184,23209.999999999967,2.592589904941184,23209.999999999967,2.86,2.59
2024-01,2024-01-15,43,1.8016427788602987,21910.00000000002,1.8016427788602987,21910.00000000002,1.8016427788602987,21910.00000000002,1.8,1.8
2024-03,2024-03-15,42,-2.1274306017508784,-25553.999999999993,-0.23768092650931769,-2873.9999999999773,-0.23768092650931769,-2873.9999999999773,-2.13,-0.24
2024-05,2024-05-15,43,1.1799116416205868,9835.999999999978,0.33899966735350323,2835.999999999978,0.33899966735350323,2835.999999999978,1.18,0.34
2024-07,2024-07-15,44,0.9078923276296006,35540.00000000006,-2.032350415403964,-79203.99999999997,-2.032350415403964,-79203.99999999997,0.91,-2.03
2024-09,2024-09-15,44,0.9044135977290348,11355.999999999962,4.064585034008714,49423.999999999985,4.064585034008714,49423.999999999985,0.9,4.06
2024-11,2024-11-15,42,-0.5033390030579912,-10683.999999999993,-1.9629594679112972,-41331.99999999996,-1.9629594679112972,-41331.99999999996,-0.5,-1.96
