symbol,short_SMA,long_SMA,trades,sharpe_ratio
SI=F,110,210,29,-0.333238
SI=F,110,230,29,-0.240380
SI=F,110,250,29,-0.328262
SI=F,110,270,29,-0.298875
SI=F,110,290,29,-0.480944
SI=F,130,150,31,-0.476981
SI=F,130,170,30,-0.612102
SI=F,130,190,30,-0.734599
SI=F,130,210,29,-0.437156
SI=F,130,230,29,-0.222703
SI=F,130,250,29,-0.291643
SI=F,130,270,28,-0.191262
SI=F,130,290,28,-0.442731
SI=F,150,170,31,-0.231830
SI=F,150,190,30,-0.184399
SI=F,150,210,29,-0.440130
SI=F,150,230,29,-0.367180
SI=F,150,250,28,-0.338593
SI=F,150,270,28,-0.095484
SI=F,150,290,28,-0.098610
SI=F,170,190,31,-0.238931
SI=F,170,210,29,-0.475436
SI=F,170,230,29,-0.354983
SI=F,170,250,29,-0.203399
SI=F,170,270,28,-0.320247
SI=F,170,290,28,-0.151754
SI=F,190,210,30,-0.311004
SI=F,190,230,29,-0.055786
SI=F,190,250,28,-0.090629
SI=F,190,270,28,-0.303703
SI=F,190,290,28,-0.284820
SI=F,210,230,29,-0.011134
SI=F,210,250,28,-0.169477
SI=F,210,270,28,-0.237048
SI=F,210,290,28,0.072862
SI=F,230,250,28,-0.152452
SI=F,230,270,28,0.022534
SI=F,230,290,28,0.181939
SI=F,250,270,28,0.017813
SI=F,250,290,28,-0.012696
SI=F,270,290,28,0.015512
GC=F,10,30,11,-0.430630
GC=F,10,50,11,-0.013002
GC=F,10,70,11,0.113467
GC=F,10,90,11,-0.122236
GC=F,10,110,11,-0.077942
GC=F,10,130,11,-0.147544
GC=F,10,150,11,-0.293667
GC=F,10,170,11,-0.090819
GC=F,10,190,11,-0.117440
GC=F,10,210,11,-0.056108
GC=F,10,230,11,-0.106403
GC=F,10,250,11,-0.067104
GC=F,10,270,11,-0.059834
GC=F,10,290,11,-0.213967
GC=F,30,50,11,0.209104
GC=F,30,70,11,0.216399
GC=F,30,90,11,-0.097428
GC=F,30,110,11,-0.319785
GC=F,30,130,11,-0.140967
GC=F,30,150,11,-0.011877
GC=F,30,170,11,0.109724
GC=F,30,190,11,0.228558
GC=F,30,210,11,0.071644
GC=F,30,230,11,0.093344
GC=F,30,250,11,0.017559
GC=F,30,270,11,-0.005955
GC=F,30,290,11,-0.165320
GC=F,50,70,11,-0.270040
GC=F,50,90,11,-0.415329
GC=F,50,110,11,-0.240025
GC=F,50,130,11,-0.215919
GC=F,50,150,11,0.146721
GC=F,50,170,11,0.253155
GC=F,50,190,11,0.268850
GC=F,50,210,11,0.254290
GC=F,50,230,11,0.119556
GC=F,50,250,11,-0.007499
GC=F,50,270,11,-0.085438
GC=F,50,290,11,-0.137666
GC=F,70,90,11,-0.215941
GC=F,70,110,11,-0.019891
GC=F,70,130,11,-0.012618
GC=F,70,150,11,0.244944
GC=F,70,170,11,0.190256
GC=F,70,190,11,0.204189
GC=F,70,210,11,0.161957
GC=F,70,230,11,0.120236
GC=F,70,250,11,-0.111153
GC=F,70,270,11,-0.149265
GC=F,70,290,11,-0.081472
GC=F,90,110,11,0.181513
GC=F,90,130,11,0.189971
GC=F,90,150,11,0.239552
GC=F,90,170,11,0.335853
GC=F,90,190,11,0.123678
GC=F,90,210,11,0.004643
GC=F,90,230,11,0.051721
GC=F,90,250,11,-0.081771
GC=F,90,270,11,-0.060612
GC=F,90,290,11,-0.073133
GC=F,110,130,11,0.224994
GC=F,110,150,11,0.234928
GC=F,110,170,11,0.040110
GC=F,110,190,11,-0.111530
GC=F,110,210,11,0.008949
GC=F,110,230,11,-0.010010
GC=F,110,250,11,0.004065
GC=F,110,270,11,0.022440
GC=F,110,290,11,-0.062863
GC=F,130,150,11,0.056895
GC=F,130,170,11,-0.059901
GC=F,130,190,11,-0.077799
GC=F,130,210,11,0.055598
GC=F,130,230,11,0.023024
GC=F,130,250,11,0.032241
GC=F,130,270,11,-0.038866
GC=F,130,290,11,0.022715
GC=F,150,170,11,-0.012276
GC=F,150,190,11,-0.092619
GC=F,150,210,11,-0.037899
GC=F,150,230,11,-0.079967
GC=F,150,250,11,0.036213
GC=F,150,270,11,0.029252
GC=F,150,290,11,-0.007833
GC=F,170,190,11,-0.110902
GC=F,170,210,11,0.075393
GC=F,170,230,11,0.151042
GC=F,170,250,11,0.089464
GC=F,170,270,11,0.041469
GC=F,170,290,10,0.072430
GC=F,190,210,11,0.017388
GC=F,190,230,11,0.002134
GC=F,190,250,11,0.134002
GC=F,190,270,10,0.180863
GC=F,190,290,10,0.229912
GC=F,210,230,11,0.323992
GC=F,210,250,10,0.279266
GC=F,210,270,10,0.260566
GC=F,210,290,10,-0.051340
GC=F,230,250,11,-0.020644
GC=F,230,270,10,-0.044734
GC=F,230,290,10,-0.117667
GC=F,250,270,11,-0.072889
GC=F,250,290,10,-0.133714
GC=F,270,290,11,-0.173390
CC,10,30,18,-0.396554
CC,10,50,18,-0.908598
CC,10,70,18,-0.992010
CC,10,90,18,-0.954304
CC,10,110,18,-0.585816
CC,10,130,18,-0.791829
CC,10,150,18,-0.605685
CC,10,170,18,-0.705471
CC,10,190,18,-0.823301
CC,10,210,18,-0.501296
CC,10,230,17,-0.588709
CC,10,250,17,-0.654994
CC,10,270,18,-0.740828
CC,10,290,18,-0.749675
CC,30,50,18,-0.734567
CC,30,70,18,-0.607341
CC,30,90,18,-0.568341
CC,30,110,18,-0.782076
CC,30,130,18,-0.178458
CC,30,150,18,-0.453846
CC,30,170,18,-0.608456
CC,30,190,18,-0.541919
CC,30,210,18,-0.544848
CC,30,230,17,-0.544044
CC,30,250,17,-0.640188
CC,30,270,17,-0.627358
CC,30,290,17,-0.730704
CC,50,70,18,-0.103203
CC,50,90,18,-0.307777
CC,50,110,18,-0.563173
CC,50,130,18,-0.659461
CC,50,150,18,-0.532799
CC,50,170,18,-0.380594
CC,50,190,18,-0.389679
CC,50,210,18,-0.246819
CC,50,230,18,-0.423298
CC,50,250,17,-0.279021
CC,50,270,17,-0.222470
CC,50,290,17,-0.344147
CC,70,90,18,-0.447917
CC,70,110,18,-0.579570
CC,70,130,18,-0.533918
CC,70,150,18,-0.356841
CC,70,170,18,-0.160199
CC,70,190,18,-0.237113
CC,70,210,18,-0.175253
CC,70,230,18,-0.210406
CC,70,250,17,-0.023072
CC,70,270,17,-0.045535
CC,70,290,17,-0.281563
CC,90,110,18,-0.575917
CC,90,130,18,-0.496670
CC,90,150,18,-0.211056
CC,90,170,18,-0.200820
CC,90,190,18,-0.292456
CC,90,210,18,-0.148768
CC,90,230,18,-0.123217
CC,90,250,18,-0.117844
CC,90,270,16,0.003399
CC,90,290,16,-0.029231
CC,110,130,18,0.081648
CC,110,150,18,0.079322
CC,110,170,18,-0.126882
CC,110,190,18,-0.491130
CC,110,210,18,-0.309033
CC,110,230,18,-0.317925
CC,110,250,18,-0.336047
CC,110,270,18,-0.290493
CC,110,290,16,-0.186938
CC,130,150,18,0.118870
CC,130,170,18,-0.567555
CC,130,190,18,-0.330300
CC,130,210,18,-0.365851
CC,130,230,18,0.030511
CC,130,250,18,0.064288
CC,130,270,18,-0.134774
CC,130,290,16,-0.120725
CC,150,170,18,-0.161594
CC,150,190,18,-0.234428
CC,150,210,18,-0.271980
CC,150,230,18,-0.017352
CC,150,250,18,0.083046
CC,150,270,18,0.065893
CC,150,290,18,-0.079632
CC,170,190,18,-0.454369
CC,170,210,18,-0.259600
CC,170,230,18,-0.036463
CC,170,250,18,-0.012002
CC,170,270,17,0.037503
CC,170,290,17,-0.099114
CC,190,210,18,-0.209392
CC,190,230,17,-0.111450
CC,190,250,17,-0.102980
CC,190,270,17,-0.037370
CC,190,290,17,-0.213310
CC,210,230,17,-0.225945
CC,210,250,17,-0.195055
CC,210,270,17,-0.081846
CC,210,290,17,-0.092709
CC,230,250,17,-0.114838
CC,230,270,17,-0.114924
CC,230,290,17,-0.111862
CC,250,270,17,-0.356709
CC,250,290,17,-0.189576
CC,270,290,17,-0.126845
