period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Medoid_2_sharpe,Medoid_2_return,Medoid_3_sharpe,Medoid_3_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-09,2021-09-15,34,-2.5704293532790956,-18036.999999999876,-2.5704293532790956,-18036.999999999876,-3.694016410493503,-25557.000000000022,2.3110503150426727,16240.000000000065,-1.3177984829099756,-9117.999999999944,-2.57,-1.32
2021-11,2021-11-15,44,-1.9489417685649715,-23826.00000000001,-3.6304024301683047,-43626.00000000003,-4.637188659101636,-54806.00000000023,-3.62725516771163,-43519.00000000006,-3.96494875232719,-47317.00000000011,-1.95,-3.96
2022-01,2022-01-15,41,-3.486430192355472,-33757.99999999974,-3.2058391323090256,-31118.00000000003,1.2267339406367783,12112.999999999925,0.20887563204916032,2070.0000000000564,-0.5900765198743624,-5645.000000000015,-3.49,-0.59
2022-03,2022-03-15,43,-2.970592336720263,-32672.000000000186,-3.673302794911943,-40042.00000000011,-3.8004579465685686,-41359.00000000006,1.3177154855001245,14695.00000000005,-2.0520150853267958,-22235.333333333376,-2.97,-2.05
2022-05,2022-05-15,44,-1.9081295271995702,-22207.99999999994,0.7204883706652878,8456.000000000104,-1.006270650217684,-11781.000000000111,0.18963253571164476,2222.9999999999723,-0.03204991461358378,-367.333333333345,-1.91,-0.03
2022-07,2022-07-15,44,-1.1014440334751519,-13244.00000000001,-3.5773162234521307,-42047.00000000021,-2.0301657651259726,-24284.00000000013,-0.1723723499830355,-2076.9999999997726,-1.9266181128537128,-22802.666666666704,-1.1,-1.93
2022-09,2022-09-15,43,2.4908847774379606,31634.999999999938,2.591771487073311,32878.00000000003,2.306856315386195,29350.99999999991,2.4908847774379606,31634.999999999938,2.4631708599658224,31287.99999999996,2.49,2.46
2022-11,2022-11-15,43,-3.6419128298025947,-36540.999999999905,-3.4309229677976423,-34540.99999999995,-1.741989138300394,-17838.000000000095,-0.2625226285098667,-2704.9999999999172,-1.8118115782026345,-18361.33333333332,-3.64,-1.81
2023-01,2023-01-15,41,-1.5717165603562233,-15681.000000000122,-2.8086473563679757,-27697.00000000001,-5.241510305105569,-49876.999999999774,0.8476923242016733,8479.99999999987,-2.400821779090624,-23031.333333333303,-1.57,-2.4
2023-03,2023-03-15,43,-3.9363192437028527,-36726.00000000007,-2.386941667182708,-22660.000000000233,-1.7039672835223736,-16257.000000000093,-0.6381531074508194,-6124.99999999988,-1.5763540193853005,-15014.000000000067,-3.94,-1.58
2023-05,2023-05-15,45,-2.327240291994644,-28366.00000000003,-0.9858766008737857,-12125.99999999995,0.8021946477705193,9854.000000000116,0.3909504240114906,4811.999999999965,0.0690894903027414,846.6666666667103,-2.33,0.07
2023-07,2023-07-15,44,-0.8857503337928421,-9132.999999999942,-0.7899686323435869,-8153.000000000052,-2.025376100852776,-20753.00000000022,-0.9574136065000954,-9871.000000000196,-1.2575861132321526,-12925.666666666822,-0.89,-1.26
2023-09,2023-09-15,43,2.9277716822509023,31324.999999999993,2.9277716822509023,31324.999999999993,2.9277716822509023,31324.999999999993,-0.20303506711232575,-2209.0000000000678,1.8841694324631597,20146.999999999975,2.93,1.88
2023-11,2023-11-15,42,0.09413240474256494,1055.0000000001687,-0.2004903978539803,-2244.999999999795,0.5858772755752625,6558.000000000231,0.5523037615437738,6177.999999999762,0.3125635464216853,3497.000000000066,0.09,0.31
2024-01,2024-01-15,43,-0.432851718272495,-4322.000000000116,-2.26060880084754,-22362.00000000017,-2.673872637105359,-26362.00000000009,2.258465971601898,22276.00000000023,-0.8920051554503335,-8816.000000000011,-0.43,-0.89
2024-03,2024-03-15,42,1.771787817400955,19529.999999999985,1.771787817400955,19529.999999999985,1.771787817400955,19529.999999999985,1.771787817400955,19529.999999999985,1.771787817400955,19529.999999999985,1.77,1.77
2024-05,2024-05-15,43,-2.9694647844407593,-25774.00000000019,-1.5046066997178114,-13193.99999999995,-0.10214805150837011,-901.0000000000441,0.9716878394882518,8558.999999999776,-0.2116889705793099,-1845.333333333406,-2.97,-0.21
2024-07,2024-07-15,45,-7.706619096935252,-73695.99999999996,-4.705085270268896,-47913.00000000008,-1.642450295702081,-17375.00000000002,-6.618751927357974,-64871.99999999975,-4.3220958311096505,-43386.66666666662,-7.71,-4.32
2024-09,2024-09-15,44,-1.1173098794608924,-12037.999999999902,-1.1173098794608924,-12037.999999999902,-1.5784001365039224,-16958.000000000153,4.612628604153334,47774.99999999991,0.6389728627295065,6259.66666666662,-1.12,0.64
2024-11,2024-11-15,42,3.23909812277807,41095.000000000044,3.23909812277807,41095.000000000044,3.23909812277807,41095.000000000044,3.23909812277807,41095.000000000044,3.23909812277807,41095.000000000044,3.24,3.24
