period_label,date,trading_days,Best_sharpe,Best_return,Medoid_1_sharpe,Medoid_1_return,Avg_Medoid_sharpe,Avg_Medoid_return,Best_sharpe_rounded,Avg_Medoid_sharpe_rounded
2021-05,2021-05-15,27,-3.650447968419556,-27095.00000000003,-3.650447968419556,-27095.00000000003,-3.650447968419556,-27095.00000000003,-3.65,-3.65
2021-07,2021-07-15,44,0.5930131059087257,7050.000000000013,-2.887788413845337,-33800.000000000015,-2.887788413845337,-33800.000000000015,0.59,-2.89
2021-09,2021-09-15,43,-0.31200120991862984,-4000.0,-0.31200120991862984,-4000.0,-0.31200120991862984,-4000.0,-0.31,-0.31
2021-11,2021-11-15,44,1.1273908360505493,12484.999999999975,1.1273908360505493,12484.999999999975,1.1273908360505493,12484.999999999975,1.13,1.13
2022-01,2022-01-15,41,0.49369109020037366,5145.000000000136,-2.303379600416121,-23784.999999999975,-2.303379600416121,-23784.999999999975,0.49,-2.3
2022-03,2022-03-15,43,0.15930801201155662,2084.999999999982,0.11350222059155012,1484.9999999999782,0.11350222059155012,1484.9999999999782,0.16,0.11
2022-05,2022-05-15,44,-0.5830142973218031,-7250.000000000024,-1.8183722909082465,-22490.000000000033,-1.8183722909082465,-22490.000000000033,-0.58,-1.82
2022-07,2022-07-15,44,0.09314075784174315,1000.0000000000186,-1.5261878444676003,-16299.999999999993,-1.5261878444676003,-16299.999999999993,0.09,-1.53
2022-09,2022-09-15,43,-2.3868670929856375,-30645.00000000001,-2.3868670929856375,-30645.00000000001,-2.3868670929856375,-30645.00000000001,-2.39,-2.39
2022-11,2022-11-15,43,-1.2786634990342,-15359.999999999993,-0.2356983906380774,-2840.000000000009,-0.2356983906380774,-2840.000000000009,-1.28,-0.24
2023-01,2023-01-15,41,-2.7277354635027704,-26040.000000000022,-2.7277354635027704,-26040.000000000022,-2.7277354635027704,-26040.000000000022,-2.73,-2.73
2023-03,2023-03-15,42,2.6812500000027826,31135.00000000001,2.6812500000027826,31135.00000000001,2.6812500000027826,31135.00000000001,2.68,2.68
2023-05,2023-05-15,45,0.463118439798775,4830.000000000067,-1.4132597522062746,-14739.999999999956,-1.4132597522062746,-14739.999999999956,0.46,-1.41
2023-07,2023-07-15,44,-0.9413404880800472,-10470.000000000035,2.7795992313851623,30449.999999999985,2.7795992313851623,30449.999999999985,-0.94,2.78
2023-09,2023-09-15,43,-2.415164525138461,-27129.99999999995,-1.0554745707562636,-11949.999999999953,-1.0554745707562636,-11949.999999999953,-2.42,-1.06
2023-11,2023-11-15,42,0.23064358889352135,2629.999999999993,-1.1097020163996039,-12620.000000000033,-1.1097020163996039,-12620.000000000033,0.23,-1.11
2024-01,2024-01-15,43,-0.45601279112620013,-4945.000000000024,3.1368240263630534,33335.00000000004,3.1368240263630534,33335.00000000004,-0.46,3.14
2024-03,2024-03-15,42,0.41538637503148673,5159.999999999987,-0.8444646170017822,-10500.00000000004,-0.8444646170017822,-10500.00000000004,0.42,-0.84
2024-05,2024-05-15,43,1.372477396666204,16794.99999999998,0.010175071575326237,124.99999999999318,0.010175071575326237,124.99999999999318,1.37,0.01
2024-07,2024-07-15,45,-1.903590034892556,-21654.99999999993,-2.1771729390962897,-24705.0,-2.1771729390962897,-24705.0,-1.9,-2.18
2024-09,2024-09-15,44,2.5886020957878326,32194.999999999905,1.508349963890827,18915.000000000004,1.508349963890827,18915.000000000004,2.59,1.51
2024-11,2024-11-15,42,2.450977283918512,23664.999999999993,2.493801993727123,24055.00000000003,2.493801993727123,24055.00000000003,2.45,2.49
